Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,
2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208,248.2016807,,,,
2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258,307.8655462,,,,
2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358,427.1932773,,,,
2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128,152.7394958,,,,
2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86,102.6218487,,,,
2010,1,201001,Adelaide,Perth,Adelaide - Perth,288,343.6638655,,,,
2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,253.9890756,,,,
2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116,138.4201681,,,,
2010,1,201001,Albury,Sydney,Albury - Sydney,133,158.7058824,,,,
2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428,510.7226891,,,,
2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166,198.0840336,,,,
2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458,546.5210084,,,,
2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158,188.5378151,,,,
2010,1,201001,Avalon,Sydney,Avalon - Sydney,78,93.07563025,,, ,
2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628,749.3781513,,,,
2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618,737.4453782,,,,
2010,1,201001,Ballina,Sydney,Ballina - Sydney,148,176.605042,,,,
2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188,224.3361345,,,,
2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158,188.5378151,,,,
2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258,307.8655462,,,,
2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365,435.5462185,,,,
2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224,267.2941176,,,, 
2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,143.1932773,,,,
2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348,415.2605042,,,,
2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108,128.8739496,,,,
2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218,260.1344538,,,,
2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471,562.0336134,,,,
2010,1,201001,Brisbane,Perth,Brisbane - Perth,438,522.6554622,,,,
2010,1,201001,Brisbane,Proserpine,Brisbane - Proserpine,128,152.7394958,,,,
2010,1,201001,Brisbane,Rockhampton,Brisbane - Rockhampton,87,103.8151261,,,,
2010,1,201001,Brisbane,Sydney,Brisbane - Sydney,128,152.7394958,,,,
2010,1,201001,Brisbane,Townsville,Brisbane - Townsville,148,176.605042,,,,
2010,1,201001,Brisbane,Newcastle,Brisbane - Newcastle,78,93.07563025,,,,
2010,1,201001,Broome,Perth,Broome - Perth,278,331.7310924,,,,
2010,1,201001,Bundaberg,Brisbane,Bundaberg - Brisbane,224,267.2941176,,,,
2010,1,201001,Cairns,Melbourne,Cairns - Melbourne,348,415.2605042,,,,
2010,1,201001,Cairns,Sydney,Cairns - Sydney,368,439.1260504,,,,
2010,1,201001,Cairns,Townsville,Cairns - Townsville,108,128.8739496,,,,
2010,1,201001,Canberra,Melbourne,Canberra - Melbourne,76,90.68907563,,,,
2010,1,201001,Canberra,Sydney,Canberra - Sydney,98,116.9411765,,,,
2010,1,201001,Coffs Harbour,Sydney,Coffs Harbour - Sydney,118,140.8067227,,,,
2010,1,201001,Darwin,Melbourne,Darwin - Melbourne,268,319.7983193,,,,
2010,1,201001,Darwin,Perth,Darwin - Perth,364,434.3529412,,,,
2010,1,201001,Darwin,Sydney,Darwin - Sydney,448,534.5882353,,,,
2010,1,201001,Devonport,Melbourne,Devonport - Melbourne,240,286.3865546,,,,
2010,1,201001,Dubbo,Sydney,Dubbo - Sydney,247.22,295.0020168,,,,
2010,1,201001,Geraldton,Perth,Geraldton - Perth,222.39,265.3729412,,,,
2010,1,201001,Gold Coast,Sydney,Gold Coast - Sydney,76,90.68907563,,,,
2010,1,201001,Hamilton Island,Sydney,Hamilton Island - Sydney,288,343.6638655,,,,
2010,1,201001,Hervey Bay,Sydney,Hervey Bay - Sydney,280,334.1176471,,,,
2010,1,201001,Hobart,Melbourne,Hobart - Melbourne,96,114.5546218,,,,
2010,1,201001,Hobart,Sydney,Hobart - Sydney,178,212.4033613,,,,
2010,1,201001,Kalgoorlie,Perth,Kalgoorlie - Perth,248,295.9327731,,,,
2010,1,201001,Karratha,Perth,Karratha - Perth,308,367.5294118,,,,
2010,1,201001,Launceston,Melbourne,Launceston - Melbourne,86,102.6218487,,,,
2010,1,201001,Launceston,Sydney,Launceston - Sydney,198.95,237.402521,,,,
2010,1,201001,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,178,212.4033613,,,,
2010,1,201001,Sunshine Coast,Sydney,Sunshine Coast - Sydney,188,224.3361345,,,,
2010,1,201001,Melbourne,Gold Coast,Melbourne - Gold Coast,118,140.8067227,,,,
2010,1,201001,Melbourne,Mildura,Melbourne - Mildura,174,207.6302521,,,,
2010,1,201001,Melbourne,Perth,Melbourne - Perth,316,377.0756303,,,,
2010,1,201001,Melbourne,Sydney,Melbourne - Sydney,56,66.82352941,,,,
2010,1,201001,Melbourne,Newcastle,Melbourne - Newcastle,144,171.8319328,,,,
2010,1,201001,Paraburdoo,Perth,Paraburdoo - Perth,453,540.5546218,,,,
2010,1,201001,Perth,Newman,Perth - Newman,358,427.1932773,,,,
2010,1,201001,Perth,Port Hedland,Perth - Port Hedland,258,307.8655462,,,,
2010,1,201001,Perth,Sydney,Perth - Sydney,378,451.0588235,,,,
2010,1,201001,Port Macquarie,Sydney,Port Macquarie - Sydney,144,171.8319328,,,,
2010,1,201001,Sydney,Tamworth,Sydney - Tamworth,261,311.4453782,,,,
2010,1,201001,Sydney,Townsville,Sydney - Townsville,198,236.2689076,,,,
2010,1,201001,Sydney,Wagga Wagga,Sydney - Wagga Wagga,230.41,274.9430252,,,,
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130,155.1260504,,,,
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278,331.7310924,,,,
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274,326.9579832,,,,
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579,690.907563,,,,
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,161.8084034,,,,
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,81.6,97.37142857,,,,
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,439.1260504,,,,
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,211.9976471,,,,
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,117.6,140.3294118,,,,
2010,2,201002,Albury,Sydney,Albury - Sydney,138,164.6722689,,,,
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,606.1848739,,,,
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,210.0168067,,,,
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,641.9831933,,,,
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,212.4033613,,,,
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,116.9411765,,,,
